,username,tweet_content,n_favorites,timestamp,mentions
2083,David07nekoser,#orbeamonegros #bicicletaperica #rcde #mmr en Monegros 🚲🤍💙🤍💙 https://t.co/asTwZNZcvR,3,Fri Apr 29 15:49:38 +0000 2022,[]
2084,SuperRuben21,Mañana por primera vez voy a ver en directo a mi @RCDEspanyol por favor espero no demos verguenza que sino tendré q… https://t.co/jZVk0x8tCp,2,Fri Apr 29 15:43:51 +0000 2022,['RCDEspanyol']
2085,perikatorRCDE,"RT @9Mahicas: 3 partidos para seguir soñando por el objetivo directo, mientras haya oportunidad de conseguirlo vamos a pelearlo hasta el fi…",0,Fri Apr 29 15:36:50 +0000 2022,['9Mahicas']
2086,ilcapocanonieri,"RT @PEAH_oficial: ¿Alguien dijo maravillas? Recién llegadas, bufandas 2.0 de la #PEAH 😻😻😻😻😻💙🤍💙 por solo 10€
#rcde no es quedéis sin la vues…",0,Fri Apr 29 15:33:00 +0000 2022,['PEAH_oficial']
2087,Daaniorba,"RT @RCDeSports: ⚠️ S O R T E O ⚠️

✈️4 viajes dobles a Madrid (transporte ida y vuelta+ 2 noches de hotel) 
 🗓️Del 7 al 9 de Mayo

👉¿Cómo p…",0,Fri Apr 29 15:31:40 +0000 2022,['RCDeSports']
2088,DudasFootball,"(#RCDE) Vicente Moreno confirma las bajas de Keidi Baré y Oscar Gil, y algún jugador mas, aunque no aclara quien:… https://t.co/4tED2OFehW",0,Fri Apr 29 15:30:00 +0000 2022,[]
2089,Pericosvoladors,"@jmolivan defiende al #rcde en el @pericos_marca de hoy ante la prensa de Madrid y la de aquí. Muy grande, gracias… https://t.co/FS3s2N3SgE",12,Fri Apr 29 15:29:47 +0000 2022,"['jmolivan', 'pericos_marca']"
2090,super_martinez,"🌟Una generación con estrella: Embarba, Carvajal, Lucas, Morata, Sarabia, Álex Fernández...

📈El extremo perico, al… https://t.co/HcmEIltwju",0,Fri Apr 29 15:27:21 +0000 2022,[]
2091,super_martinez,"RT @IvanMolero: Embarba y Carvajal o la fantástica 'Generación del 92'

✍️ @super_martinez

📝 @diarioas #rcde #RealMadridEspanyol
 https://…",0,Fri Apr 29 15:24:23 +0000 2022,"['IvanMolero', 'super_martinez', 'diarioas']"
2092,goalkeapper,"RT @IvanMolero: Embarba y Carvajal o la fantástica 'Generación del 92'

✍️ @super_martinez

📝 @diarioas #rcde #RealMadridEspanyol
 https://…",0,Fri Apr 29 15:24:14 +0000 2022,"['IvanMolero', 'super_martinez', 'diarioas']"
2093,IvanMolero,"Embarba y Carvajal o la fantástica 'Generación del 92'

✍️ @super_martinez

📝 @diarioas #rcde #RealMadridEspanyol
 https://t.co/3e41xr3LHB",1,Fri Apr 29 15:21:46 +0000 2022,"['super_martinez', 'diarioas']"
